,Sensitivity,Specificity,Positive Predictive Value,Negative Predictive Value,False Positive Rate,False Negative Rate,False Discovery Rate,Accuracy,Matthews Correlation Coefficient,Youden's Index
0,0.9821428571428571,0.42857142857142855,0.632183908045977,0.96,0.5714285714285714,0.017857142857142856,0.367816091954023,0.7053571428571429,0.49317176602538565,0.4107142857142856
1,0.9642857142857143,0.5,0.6585365853658537,0.9333333333333333,0.5,0.03571428571428571,0.34146341463414637,0.7321428571428571,0.5242105950545827,0.4642857142857144
2,0.9464285714285714,0.48214285714285715,0.6463414634146342,0.9,0.5178571428571429,0.05357142857142857,0.35365853658536583,0.7142857142857143,0.4838867031273071,0.4285714285714286
3,0.9464285714285714,0.5357142857142857,0.6708860759493671,0.9090909090909091,0.4642857142857143,0.05357142857142857,0.3291139240506329,0.7410714285714286,0.5288021942507604,0.4821428571428572
4,0.9285714285714286,0.5,0.65,0.875,0.5,0.07142857142857142,0.35,0.7142857142857143,0.47434164902525694,0.4285714285714286
5,0.9642857142857143,0.48214285714285715,0.6506024096385542,0.9310344827586207,0.5178571428571429,0.03571428571428571,0.3493975903614458,0.7232142857142857,0.5095677844634847,0.4464285714285714
6,0.9464285714285714,0.4642857142857143,0.6385542168674698,0.896551724137931,0.5357142857142857,0.05357142857142857,0.3614457831325301,0.7053571428571429,0.468802361706406,0.4107142857142856
7,0.9642857142857143,0.5,0.6585365853658537,0.9333333333333333,0.5,0.03571428571428571,0.34146341463414637,0.7321428571428571,0.5242105950545827,0.4642857142857144
8,0.9642857142857143,0.5357142857142857,0.675,0.9375,0.4642857142857143,0.03571428571428571,0.325,0.75,0.5533985905294664,0.5
9,0.9821428571428571,0.5,0.6626506024096386,0.9655172413793104,0.5,0.017857142857142856,0.3373493975903614,0.7410714285714286,0.5503332072205636,0.4821428571428572
10,0.8928571428571429,0.4642857142857143,0.625,0.8125,0.5357142857142857,0.10714285714285714,0.375,0.6785714285714286,0.39528470752104744,0.3571428571428572
11,0.9464285714285714,0.5178571428571429,0.6625,0.90625,0.48214285714285715,0.05357142857142857,0.3375,0.7321428571428571,0.5138701197773616,0.4642857142857144
12,0.7678571428571429,0.5,0.6056338028169014,0.6829268292682927,0.5,0.23214285714285715,0.39436619718309857,0.6339285714285714,0.27801623415079785,0.2678571428571428
13,0.9464285714285714,0.48214285714285715,0.6463414634146342,0.9,0.5178571428571429,0.05357142857142857,0.35365853658536583,0.7142857142857143,0.4838867031273071,0.4285714285714286
